City,Arthritis among adults aged >=18 Years,Chronic kidney disease among adults aged >=18 Years,Chronic obstructive pulmonary disease among adults aged >=18 Years,Coronary heart disease among adults aged >=18 Years,Current lack of health insurance among adults aged 18-64 Years,Diagnosed diabetes among adults aged >=18 Years,High cholesterol among adults aged >=18 Years,No leisure-time physical activity among adults aged >=18 Years
"Pompano Beach, FL",0.231,0.03,0.077,0.066,0.259,0.115,0.33399999999999996,0.317
"Providence, RI",0.249,0.032,0.073,0.068,0.18899999999999997,0.126,0.317,0.35200000000000004
"Redondo Beach, CA",0.162,0.02,0.034,0.037000000000000005,0.063,0.064,0.273,0.136
"Redwood City, CA",0.17,0.024,0.042,0.045,0.131,0.081,0.268,0.182
"Rochester, NY",0.284,0.034,0.08199999999999999,0.07,0.16899999999999998,0.133,0.311,0.36
"Rockford, IL",0.255,0.03,0.077,0.067,0.16699999999999998,0.114,0.336,0.324
"Salinas, CA",0.2,0.033,0.06,0.063,0.258,0.126,0.324,0.27699999999999997
"San Angelo, TX",0.209,0.027999999999999997,0.063,0.061,0.247,0.111,0.331,0.312
"San Antonio, TX",0.21899999999999997,0.031,0.055999999999999994,0.062,0.297,0.127,0.33799999999999997,0.336
"San Diego, CA",0.179,0.025,0.045,0.046,0.124,0.085,0.292,0.179
"San Jose, CA",0.154,0.023,0.039,0.044000000000000004,0.128,0.091,0.281,0.198
"San Marcos, CA",0.191,0.026000000000000002,0.052000000000000005,0.05,0.14300000000000002,0.086,0.29600000000000004,0.192
"San Mateo, CA",0.163,0.022000000000000002,0.039,0.042,0.102,0.077,0.267,0.17
"Santa Ana, CA",0.18100000000000002,0.033,0.055,0.064,0.278,0.136,0.32899999999999996,0.27899999999999997
"Santa Barbara, CA",0.185,0.025,0.045,0.047,0.124,0.083,0.292,0.184
"Santa Clara, CA",0.147,0.021,0.035,0.04,0.083,0.076,0.272,0.165
"Santa Clarita, CA",0.179,0.023,0.044000000000000004,0.044000000000000004,0.11,0.078,0.285,0.17600000000000002
"Santa Fe, NM",0.203,0.026000000000000002,0.047,0.047,0.141,0.08,0.257,0.188
"Santa Maria, CA",0.20800000000000002,0.032,0.065,0.064,0.258,0.126,0.322,0.276
"Shreveport, LA",0.266,0.032,0.07400000000000001,0.07,0.205,0.135,0.34299999999999997,0.355
"Somerville, MA",0.214,0.024,0.054000000000000006,0.049,0.07200000000000001,0.083,0.304,0.23800000000000002
"South Bend, IN",0.27,0.031,0.085,0.073,0.19899999999999998,0.12300000000000001,0.33299999999999996,0.319
"South Gate, CA",0.192,0.034,0.052000000000000005,0.062,0.297,0.14300000000000002,0.321,0.287
"Springfield, MA",0.297,0.034,0.084,0.075,0.179,0.134,0.326,0.348
"St. Joseph, MO",0.278,0.027000000000000003,0.081,0.065,0.16699999999999998,0.10400000000000001,0.345,0.308
"St. Louis, MO",0.26899999999999996,0.033,0.079,0.07,0.187,0.138,0.303,0.303
"Sunnyvale, CA",0.141,0.02,0.031,0.037000000000000005,0.081,0.073,0.26899999999999996,0.156
"Syracuse, NY",0.281,0.032,0.09,0.07200000000000001,0.155,0.12,0.318,0.33799999999999997
"Toledo, OH",0.273,0.032,0.095,0.07400000000000001,0.161,0.128,0.303,0.32299999999999995
"Torrance, CA",0.157,0.02,0.035,0.038,0.083,0.076,0.285,0.161
"Tulsa, OK",0.249,0.027999999999999997,0.073,0.068,0.179,0.107,0.32799999999999996,0.331
"Tuscaloosa, AL",0.302,0.032,0.085,0.071,0.171,0.139,0.36200000000000004,0.348
"Tustin, CA",0.16399999999999998,0.025,0.043,0.048,0.14,0.09,0.3,0.193
"Union City, CA",0.165,0.023,0.035,0.042,0.111,0.092,0.27899999999999997,0.193
"Union City, NJ",0.21100000000000002,0.033,0.055999999999999994,0.066,0.306,0.142,0.32299999999999995,0.39799999999999996
"Waco, TX",0.239,0.033,0.078,0.07,0.28300000000000003,0.132,0.341,0.34600000000000003
"Warner Robins, GA",0.262,0.03,0.077,0.066,0.188,0.11900000000000001,0.32799999999999996,0.307
"Waterbury, CT",0.259,0.03,0.077,0.066,0.175,0.12,0.32899999999999996,0.315
"Wilmington, DE",0.261,0.033,0.075,0.064,0.18,0.142,0.317,0.341
"Youngstown, OH",0.29,0.038,0.10800000000000001,0.085,0.21,0.166,0.33,0.39299999999999996
"Yuma, AZ",0.22,0.032,0.068,0.065,0.235,0.11900000000000001,0.32799999999999996,0.28
